evt_time,syscall_type,container_mounts,proc_args,proc_nthreads,proc_nchilds,proc_fdopencount,proc_vmsize,evt_args
23:02:07.894849127,poll,/:/host:rw:true:rslave,app.py,2,1,6,149808,res=0 fds=
23:02:07.895041957,poll,/:/host:rw:true:rslave,app.py,2,1,6,149808,fds=3:41 timeout=500
23:02:08.395772932,poll,/:/host:rw:true:rslave,app.py,2,1,6,149808,res=0 fds=
23:02:08.395815960,poll,/:/host:rw:true:rslave,app.py,2,1,6,149808,fds=3:41 timeout=500
23:02:08.400188271,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
23:02:08.400218226,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>0.0.0.0:1) size=64 tuple=0.0.0.0:1->127.0.0.1:0
23:02:08.400281992,sendmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=64 data=..........uc....U....................... !#$%&'()*+
23:02:08.400284807,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
23:02:08.400289516,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=84 size=84 data=E..Tj...@.....................uc....U....................... !#$%&'()*+
23:02:08.400303842,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=1(<p>pipe:[21428]) size=57
23:02:08.400356516,write,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.060 ms.
23:02:08.400393674,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,fd=3(<4r>127.0.0.1->127.0.0.1)
23:02:08.400411797,read,/:/host:rw:true:rslave,app.py,2,0,6,149808,res=57 data=64 bytes from 127.0.0.1: icmp_seq=2 ttl=64 time=0.060 ms.
23:02:08.400419318,read,/:/host:rw:true:rslave,app.py,2,0,6,149808,fd=5(<p>pipe:[21428]) size=8029
23:02:08.896710164,poll,/:/host:rw:true:rslave,app.py,2,1,6,149808,res=0 fds=
23:02:08.896770835,poll,/:/host:rw:true:rslave,app.py,2,1,6,149808,fds=3:41 timeout=500
23:02:09.398339954,poll,/:/host:rw:true:rslave,app.py,2,1,6,149808,res=0 fds=
23:02:09.398396948,poll,/:/host:rw:true:rslave,app.py,2,1,6,149808,fds=3:41 timeout=500
23:02:09.404040761,recvmsg,/:/host:rw:true:rslave,-c 4 127.0.0.1,1,0,4,6536,res=-11(EAGAIN) size=192 data=NULL tuple=NULL
